Term,Status,Section Name and Title,Location,Meeting Information,Faculty,Available/Capacity,Credits,Academic Level,Monday,Tuesday,Wednesday,Thursday,Friday,Lecture,Lab,Seminar,DE,Morning,Afternoon,# of Meetings
Fall 2022,Closed,CIS*1300*0104 (7168) Programming,Guelph,"['LEC Tues, Thur\n02:30PM - 03:50PM\nROZH, Room 101', 'LAB Mon\n02:30PM - 04:20PM\nREYN, Room 0002', 'EXAM Fri\n08:30AM - 10:30AM (2022/12/09)\nRoom TBA']",R. Chaturvedi,0 / 33,0.50,Undergraduate,Yes,Yes,,Yes,,Yes,Yes,,,,Yes,3
Fall 2022,Closed,CIS*1300*0105 (7169) Programming,Guelph,"['LEC Tues, Thur\n02:30PM - 03:50PM\nROZH, Room 101', 'LAB Mon\n11:30AM - 01:20PM\nREYN, Room 0002', 'EXAM Fri\n08:30AM - 10:30AM (2022/12/09)\nRoom TBA']",R. Chaturvedi,0 / 33,0.50,Undergraduate,Yes,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1300*0106 (7170) Programming,Guelph,"['LEC Tues, Thur\n02:30PM - 03:50PM\nROZH, Room 101', 'LAB Tues\n08:30AM - 10:20AM\nREYN, Room 0002', 'EXAM Fri\n08:30AM - 10:30AM (2022/12/09)\nRoom TBA']",R. Chaturvedi,0 / 33,0.50,Undergraduate,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1300*0107 (7171) Programming,Guelph,"['LEC Tues, Thur\n02:30PM - 03:50PM\nROZH, Room 101', 'LAB Wed\n11:30AM - 01:20PM\nREYN, Room 0002', 'EXAM Fri\n08:30AM - 10:30AM (2022/12/09)\nRoom TBA']",R. Chaturvedi,0 / 33,0.50,Undergraduate,,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1300*0108 (7172) Programming,Guelph,"['LEC Tues, Thur\n02:30PM - 03:50PM\nROZH, Room 101', 'LAB Thur\n08:30AM - 10:20AM\nREYN, Room 0002', 'EXAM Fri\n08:30AM - 10:30AM (2022/12/09)\nRoom TBA']",R. Chaturvedi,0 / 33,0.50,Undergraduate,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1300*0109 (7173) Programming,Guelph,"['LEC Tues, Thur\n02:30PM - 03:50PM\nROZH, Room 101', 'LAB Wed\n02:30PM - 04:20PM\nREYN, Room 0002', 'EXAM Fri\n08:30AM - 10:30AM (2022/12/09)\nRoom TBA']",R. Chaturvedi,0 / 33,0.50,Undergraduate,,Yes,Yes,Yes,,Yes,Yes,,,,Yes,3
Fall 2022,Closed,CIS*1300*0110 (7174) Programming,Guelph,"['LEC Tues, Thur\n02:30PM - 03:50PM\nROZH, Room 101', 'LAB Wed\n08:30AM - 10:20AM\nREYN, Room 0002', 'EXAM Fri\n08:30AM - 10:30AM (2022/12/09)\nRoom TBA']",R. Chaturvedi,0 / 33,0.50,Undergraduate,,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1500*0101 (7175) Introduction to Programming,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nTHRN, Room 1200', 'LAB Wed\n09:30AM - 10:20AM\nTHRN, Room 3401', 'EXAM Thur\n11:30AM - 01:30PM (2022/12/15)\nRoom TBA']",TBA  TBA,0 / 20,0.50,Undergraduate,,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1500*0102 (7176) Introduction to Programming,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nTHRN, Room 1200', 'LAB Wed\n11:30AM - 12:20PM\nTHRN, Room 3401', 'EXAM Thur\n11:30AM - 01:30PM (2022/12/15)\nRoom TBA']",TBA  TBA,0 / 20,0.50,Undergraduate,,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1500*0103 (7177) Introduction to Programming,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nTHRN, Room 1200', 'LAB Wed\n10:30AM - 11:20AM\nTHRN, Room 3401', 'EXAM Thur\n11:30AM - 01:30PM (2022/12/15)\nRoom TBA']",TBA  TBA,0 / 20,0.50,Undergraduate,,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1500*0104 (7178) Introduction to Programming,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nTHRN, Room 1200', 'LAB Wed\n03:30PM - 04:20PM\nTHRN, Room 3401', 'EXAM Thur\n11:30AM - 01:30PM (2022/12/15)\nRoom TBA']",TBA  TBA,0 / 20,0.50,Undergraduate,,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1500*0105 (7179) Introduction to Programming,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nTHRN, Room 1200', 'LAB Mon\n12:30PM - 01:20PM\nTHRN, Room 3401', 'EXAM Thur\n11:30AM - 01:30PM (2022/12/15)\nRoom TBA']",TBA  TBA,0 / 20,0.50,Undergraduate,Yes,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1500*0106 (7180) Introduction to Programming,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nTHRN, Room 1200', 'LAB Mon\n04:30PM - 05:20PM\nTHRN, Room 3401', 'EXAM Thur\n11:30AM - 01:30PM (2022/12/15)\nRoom TBA']",TBA  TBA,0 / 20,0.50,Undergraduate,Yes,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1500*0107 (7181) Introduction to Programming,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nTHRN, Room 1200', 'LAB Mon\n01:30PM - 02:20PM\nTHRN, Room 3401', 'EXAM Thur\n11:30AM - 01:30PM (2022/12/15)\nRoom TBA']",TBA  TBA,0 / 20,0.50,Undergraduate,Yes,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1500*0108 (7182) Introduction to Programming,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nTHRN, Room 1200', 'LAB Mon\n11:30AM - 12:20PM\nTHRN, Room 3401', 'EXAM Thur\n11:30AM - 01:30PM (2022/12/15)\nRoom TBA']",TBA  TBA,0 / 20,0.50,Undergraduate,Yes,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1500*0109 (7183) Introduction to Programming,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nTHRN, Room 1200', 'LAB Wed\n12:30PM - 01:20PM\nTHRN, Room 3401', 'EXAM Thur\n11:30AM - 01:30PM (2022/12/15)\nRoom TBA']",TBA  TBA,0 / 20,0.50,Undergraduate,,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1500*0110 (7184) Introduction to Programming,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nTHRN, Room 1200', 'LAB Mon\n03:30PM - 04:20PM\nTHRN, Room 3401', 'EXAM Thur\n11:30AM - 01:30PM (2022/12/15)\nRoom TBA']",TBA  TBA,0 / 20,0.50,Undergraduate,Yes,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1500*0111 (7185) Introduction to Programming,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nTHRN, Room 1200', 'LAB Wed\n01:30PM - 02:20PM\nTHRN, Room 3401', 'EXAM Thur\n11:30AM - 01:30PM (2022/12/15)\nRoom TBA']",TBA  TBA,0 / 20,0.50,Undergraduate,,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1500*0112 (7186) Introduction to Programming,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nTHRN, Room 1200', 'LAB Wed\n08:30AM - 09:20AM\nTHRN, Room 3401', 'EXAM Thur\n11:30AM - 01:30PM (2022/12/15)\nRoom TBA']",TBA  TBA,0 / 20,0.50,Undergraduate,,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1500*0113 (7187) Introduction to Programming,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nTHRN, Room 1200', 'LAB Wed\n04:30PM - 05:20PM\nTHRN, Room 3401', 'EXAM Thur\n11:30AM - 01:30PM (2022/12/15)\nRoom TBA']",TBA  TBA,0 / 20,0.50,Undergraduate,,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1910*0101 (7188) Discrete Structures in Comp I,Guelph,"['LEC Tues, Thur\n01:00PM - 02:20PM\nROZH, Room 101', 'LAB Mon\n11:30AM - 01:20PM\nMCKN, Room 318', 'EXAM Mon\n08:30AM - 10:30AM (2022/12/12)\nRoom TBA']",P. Matsakis,0 / 29,0.50,Undergraduate,Yes,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1910*0102 (7189) Discrete Structures in Comp I,Guelph,"['LEC Tues, Thur\n01:00PM - 02:20PM\nROZH, Room 101', 'LAB Mon\n07:00PM - 08:50PM\nMCKN, Room 235', 'EXAM Mon\n08:30AM - 10:30AM (2022/12/12)\nRoom TBA']",P. Matsakis,0 / 29,0.50,Undergraduate,Yes,Yes,,Yes,,Yes,Yes,,,,Yes,3
